ref_id,status,source_file,source_name,data_version,normalized_status,region_count,size_x,size_y,size_z,bounding_volume,non_air_blocks,air_blocks,occupancy_ratio,unique_block_states,unique_block_types,palette_entropy,wood_ratio,stone_ratio,glass_ratio,metal_ratio,decorative_ratio,functional_block_ratio,unknown_material_ratio,footprint_area,solid_volume,surface_area_estimate,width_height_ratio,depth_height_ratio,symmetry_x,symmetry_z,exterior_shell_ratio,interior_air_ratio,estimated_floor_count,floor_detection_confidence,usable_floor_area,door_count,exterior_door_candidates,window_count_estimate,stair_count,stair_cluster_count,ladder_count,vertical_access_candidates,walkable_voxels,walkable_components,largest_component_ratio,isolated_space_count,vertical_connections,dead_end_count,ir_source
REF-0001,OK,丁香树坛.litematic,丁香树坛,3465,LEGACY_SAFE,1,14,15,15,3150,555,2595,0.17619,14,7,3.5268576745416182,0.095495,0.225225,0.0,0.0,0.679279,0.0,0.0,153,555,1476,0.9333,1.0,0.357,0.4472,0.85045,0.000952,2,high,163,0,0,0,0,0,0,0,253,106,0.3597,1,36,51,normalized
REF-0002,OK,世界之塔.litematic,世界之塔,4438,LEGACY_SAFE,1,55,124,52,354640,19651,334989,0.055411,172,71,3.8273557299466523,0.156684,0.616254,0.052873,0.000509,0.106814,0.060913,0.005954,2860,19651,49008,0.4435,0.4194,0.8598,0.3186,0.940207,0.000426,1,medium,2856,5,5,1039,170,50,41,60,9618,1610,0.7246,19,702,679,normalized
REF-0003,OK,中世纪农舍.litematic,中世纪农舍,3465,LEGACY_SAFE,1,15,14,19,3990,1387,2603,0.347619,126,40,5.468562523366461,0.379236,0.020908,0.043259,0.002884,0.092286,0.461428,0.0,226,1387,2706,1.0714,1.3571,0.3122,0.4693,0.83057,0.035589,3,high,348,4,4,60,216,21,59,41,548,43,0.458,3,370,39,normalized
REF-0004,OK,中世纪四层小屋.litematic,中世纪四层小屋,3465,MIGRATED,1,21,21,23,10143,2440,7703,0.24056,87,29,4.928579242748287,0.294672,0.526639,0.02377,0.0,0.010246,0.144672,0.0,483,2440,4524,1.0,1.0952,0.4545,0.3872,0.548361,0.126886,4,high,1057,2,2,58,448,27,0,27,1075,54,0.4837,3,268,36,normalized
REF-0005,OK,中世纪大门守卫房.litematic,中世纪大门守卫房,4438,LEGACY_SAFE,1,17,32,48,26112,2442,23670,0.09352,38,13,3.551685881470333,0.419738,0.176085,0.0,0.0,0.009828,0.394349,0.0,388,2442,5270,0.5312,1.5,0.1573,0.4684,0.856265,0.018267,UNKNOWN,low,UNKNOWN,0,0,0,135,36,42,40,901,73,0.3907,8,574,112,normalized
REF-0006,OK,中世纪工具匠铺.litematic,中世纪工具匠铺,4189,MIGRATED,1,25,21,29,15225,3654,11571,0.24,325,147,6.326057462859653,0.198139,0.491516,0.0,0.015326,0.079365,0.213738,0.001916,557,3654,5534,1.1905,1.381,0.5225,0.3506,0.563492,0.029491,3,medium,721,4,2,0,165,50,12,56,1081,114,0.3543,17,301,121,normalized
REF-0007,OK,中世纪工坊.litematic,中世纪工坊,4189,MIGRATED,1,34,26,31,27404,4381,23023,0.159867,358,144,6.701020497367133,0.170052,0.438941,0.0,0.009815,0.076238,0.295138,0.009815,897,4381,7418,1.3077,1.1923,0.2962,0.2391,0.636841,0.020253,2,medium,742,10,7,0,544,42,26,59,1592,116,0.5603,10,512,131,normalized
REF-0008,OK,中世纪异世界酒馆.litematic,中世纪异世界酒馆,3465,MIGRATED,1,31,26,31,24986,5608,19378,0.224446,338,143,6.206528511708095,0.168153,0.381241,0.00428,0.008916,0.166904,0.243937,0.026569,961,5608,8312,1.1923,1.1923,0.4766,0.5339,0.598609,0.01813,3,medium,980,5,4,24,331,118,20,126,1745,130,0.561,20,540,162,normalized
REF-0009,OK,中世纪据点_小.litematic,中世纪据点_小,4438,LEGACY_SAFE,1,63,49,51,157437,28442,128995,0.180656,106,41,3.379066408471399,0.061036,0.832677,0.011427,0.002989,0.01206,0.077913,0.001899,3213,28442,30624,1.2857,1.0408,0.92,0.4855,0.414668,0.021367,2,medium,2206,37,29,325,736,107,127,123,5577,368,0.6034,95,1842,470,normalized
REF-0010,OK,中世纪海港小屋.litematic,中世纪海港小屋,4438,LEGACY_SAFE,1,19,26,16,7904,2203,5701,0.27872,132,40,4.768203312316086,0.356332,0.163867,0.0,0.0,0.016795,0.383568,0.079437,304,2203,3330,0.7308,0.6154,0.5476,0.3043,0.455288,0.068573,2,high,231,3,1,0,445,42,4,43,629,39,0.256,9,206,46,normalized
